Mod;Affix Name;Typ;Beschreibung;Anwendbar auf;Seltenheit;Bonus
Apotheosis;Aquatic;Attribut;Erhöht Schwimmgeschwindigkeit;Stiefel;Common;+0.15
Apotheosis;Blessed;Attribut;Erhöht maximale Gesundheit;Rüstung;Common;+2 HP
Apotheosis;Elastic;Attribut;Erhöht Schrithöhe (1 Block hochgehen);Stiefel;Common;+1
Apotheosis;Fortunate;Attribut;Erhöht Glück;Rüstung;Common;+1
Apotheosis;Gravitational;Attribut;Reduziert Fallschaden;Brustplatte;Common;-15%
Apotheosis;Ironforged;Attribut;Erhöht Rüstung;Rüstung;Common;+2
Apotheosis;Spiritual;Attribut;Erhöht erhaltene Heilung;Brust/Beine;Common;+10%
Apotheosis;Stalwart;Attribut;Erhöht Knockback-Resistenz;Rüstung;Common;+0.1
Apotheosis;Steel_Touched;Attribut;Erhöht Rüstung Härte;Rüstung;Common;+1
Apotheosis;Windswept;Attribut;Erhöht Bewegungsgeschwindigkeit;Beine/Stiefel;Common;+0.05
Apotheosis;Winged;Attribut;Verbessert Elytra-Flug;Brustplatte;Common;+0.1
Apotheosis;Blast_Forged;Schadensreduktion;Reduziert Explosionsschaden;Rüstung;Common;-10%
Apotheosis;Blockading;Schadensreduktion;Reduziert physischen Schaden;Rüstung;Common;-5%
Apotheosis;Dwarven;Schadensreduktion;Reduziert Feuerschaden;Rüstung;Common;-10%
Apotheosis;Feathery;Schadensreduktion;Reduziert Fallschaden;Stiefel;Common;-15%
Apotheosis;Runed;Schadensreduktion;Reduziert magischen Schaden;Rüstung;Common;-10%
Apotheosis;Blinding;Effekt;Verursacht Blindheit beim Angreifer;Rüstung;Common;3 Sek
Apotheosis;Bolstering;Effekt;Gewährt Resistenz beim Angreifen;Rüstung;Common;5 Sek
Apotheosis;Bursting;Effekt;Gewährt Vitalität beim Angreifen;Rüstung;Common;5 Sek
Apotheosis;Nimble;Effekt;Gewährt Schnelligkeit beim Angreifen;Rüstung;Common;5 Sek
Apotheosis;Revitalizing;Effekt;Gewährt sofortige Heilung beim Angreifen;Rüstung;Common;1 HP
Apotheosis;Elongated;Attribut;Erhöht Angriffsreichweite;Schwert/Dreizack;Common;+0.5
Apotheosis;Glacial;Attribut;Verursacht Kälteschaden;Schwert/Dreizack;Common;+2
Apotheosis;Graceful;Attribut;Erhöht Angriffsgeschwindigkeit;Schwert/Dreizack;Common;+0.1
Apotheosis;Infernal;Attribut;Verursacht Feuerschaden;Schwert/Dreizack;Common;+2
Apotheosis;Intricate;Attribut;Erhöht kritischen Schaden;Schwert/Dreizack;Common;+10%
Apotheosis;Lacerating;Attribut;Erhöht kritischen Schaden;Schwert/Dreizack;Common;+10%
Apotheosis;Piercing;Attribut;Panzerung durchbohren;Schwert/Dreizack;Common;+2
Apotheosis;Spellbreaking;Attribut;Magischen Schutz durchbrechen;Schwert/Dreizack;Common;+2
Apotheosis;Vampiric;Attribut;Lebensraub bei Treffern;Schwert/Dreizack;Common;+0.15
Apotheosis;Violent;Attribut;Erhöht Angriffschaden;Schwert/Dreizack;Common;+2
Apotheosis;Elusive;Effekt;Gewährt Schnelligkeit beim Angreifen;Schwert/Dreizack;Common;3 Sek
Apotheosis;Sophisticated;Effekt;Gewährt Wissenserfahrung beim Angreifen;Schwert/Dreizack;Common;+XP
Apotheosis;Weakening;Effekt;Verursacht Schwäche beim Angreifen;Schwert/Dreizack;Common;5 Sek
Apotheosis;Festive;Spezial;Kills droppen Geschenke;Schwert/Dreizack;Common;5% Chance
