Mod;Enchantment;Beschreibung;Max Level;Kategorie
Minecraft Vanilla;Protection;Reduziert Schaden um 4% pro Level;8;Rüstung
Minecraft Vanilla;Fire Protection;Reduziert Feuerschaden um 8% pro Level;9;Rüstung
Minecraft Vanilla;Feather Falling;Reduziert Fallschaden um 12% pro Level;11;Stiefel
Minecraft Vanilla;Blast Protection;Reduziert Explosionsschaden um 8% pro Level;9;Rüstung
Minecraft Vanilla;Projectile Protection;Reduziert Projektilschaden um 8% pro Level;11;Rüstung
Minecraft Vanilla;Respiration;Erhöht die Atemzeit unter Wasser;7;Helm
Minecraft Vanilla;Aqua Affinity;Normales Abbauen unter Wasser;1;Helm
Minecraft Vanilla;Thorns;Rückschaden an Angreifer;5;Rüstung
Minecraft Vanilla;Depth Strider;Erhöht Unterwasser-Bewegung;7;Stiefel
Minecraft Vanilla;Frost Walker;Erzeugt Eis auf Wasser;7;Stiefel
Minecraft Vanilla;Binding Curse;Item kann nicht abgelegt werden (Fluch);1;Alle
Minecraft Vanilla;Soul Speed;Schneller auf Soul Sand;7;Stiefel
Minecraft Vanilla;Swift Sneak;Schneller beim Schleichen;5;Hose
Minecraft Vanilla;Sharpness;Erhöht Waffenschaden;9;Waffe
Minecraft Vanilla;Smite;Erhöht Schaden gegen Untote;10;Waffe
Minecraft Vanilla;Bane of Arthropods;Erhöht Schaden gegen Arthropoden;10;Waffe
Minecraft Vanilla;Knockback;Erhöht Rückstoß;5;Waffe
Minecraft Vanilla;Fire Aspect;Entzündet Gegner;5;Waffe
Minecraft Vanilla;Looting;Erhöht Loot-Drops;8;Waffe
Minecraft Vanilla;Sweeping Edge;Erhöht Flächenschaden;8;Schwert
Minecraft Vanilla;Efficiency;Erhöht Abbaugeschwindigkeit;9;Werkzeug
Minecraft Vanilla;Silk Touch;Blöcke droppen original;1;Werkzeug
Minecraft Vanilla;Unbreaking;Erhöht Haltbarkeit;8;Alle
Minecraft Vanilla;Fortune;Erhöht Rohstoff-Drops;8;Werkzeug
Minecraft Vanilla;Power;Erhöht Pfeil-Schaden;9;Bogen
Minecraft Vanilla;Punch;Erhöht Pfeil-Knockback;5;Bogen
Minecraft Vanilla;Flame;Entzündet mit Pfeilen;1;Bogen
Minecraft Vanilla;Infinity;Unbegrenzte Pfeile;1;Bogen
Minecraft Vanilla;Luck of the Sea;Bessere Angel-Chancen;8;Angel
Minecraft Vanilla;Lure;Schnelleres Angeln;8;Angel
Minecraft Vanilla;Loyalty;Dreizack kehrt zurück;9;Dreizack
